C1,C2,C3,C4,C5,C6,C7,I13,H12,H11,I14,I15,B8,B9,B10,I16,I17,I18,O19
1,0.02,97.6592617,168.44,1,1,2,0,2,0,2,0,1,Concrete/ciment,1,0,0,0,0
1,0.02,97.6592617,168.44,1,1,2,0,2,0,2,0,1,Concrete/ciment,1,0,0,1,0
0,0.08,188.0134925,9.45,0,1,2,0,2,0,3,1,1,Concrete/ciment,1,0,0,1,0
0,0.08,188.0134925,9.45,0,1,2,0,2,0,3,1,1,Concrete/ciment,1,0,0,1,0
0,0.71,10.7551756,86.61,0,1,2,0,2,1,4,4,1,Concrete/ciment,0,1,1,1,1
0,0.05,128.9221461,16.13,0,1,1,0,1,0,3,1,1,Concrete/ciment,0,0,1,1,1
0,0.03,545.640891,26.25,0,0,2,0,1,0,2,1,1,Concrete/ciment,1,0,0,0,0
0,0.03,545.640891,26.25,0,0,2,0,1,0,2,1,1,Concrete/ciment,1,0,0,0,0
1,0.15,84.1028058,22.68,0,1,2,0,1,0,4,2,1,Concrete/ciment,1,1,0,3,0
0,0.03,55.0534956,24.5,0,0,2,0,1,0,2,3,1,Concrete/ciment,1,0,0,0,1
0,0.03,55.0534956,24.5,0,0,2,0,1,0,2,3,1,Concrete/ciment,1,0,0,0,1
0,0.06,1737.804534,25.25,0,0,2,1,2,1,2,1,1,Caisson,1,0,0,2,0
0,0.06,1737.804534,25.25,0,0,2,1,2,1,2,1,1,Caisson,1,0,1,1,1
0,0.06,1737.804534,25.25,0,0,2,1,2,1,2,1,1,Caisson,1,1,1,1,1
0,0.06,1737.804534,25.25,0,0,2,1,2,1,2,1,1,Caisson,1,1,0,1,1
0,0.84,2.2808563,22,0,1,2,0,1,1,4,2,1,Concrete/ciment,1,0,1,1,1
0,0.04,153.4839143,8.75,0,0,2,0,1,0,1,1,2,Concrete/ciment,1,0,0,0,0
0,0.04,153.4839143,8.75,0,0,2,0,1,0,1,1,2,Concrete/ciment,1,0,0,0,0
0,0.04,153.4839143,8.75,0,0,2,0,1,0,1,1,2,Concrete/ciment,1,0,0,0,0
0,0.05,2213.025408,32.39,0,1,1,0,2,0,1,1,1,Concrete/ciment,0,1,0,1,1
0,0.05,2213.025408,32.39,0,1,1,0,2,0,1,1,1,Concrete/ciment,0,1,0,1,1
0,0.05,2213.025408,32.39,0,1,1,0,2,0,1,1,1,Concrete/ciment,0,1,0,1,1
0,0.05,2213.025408,32.39,0,1,1,0,2,0,1,1,1,Concrete/ciment,0,1,0,1,1
0,0.04,828.036731,13.3,0,0,1,0,2,0,1,0,1,Concrete/ciment,1,0,0,0,1
0,0.04,828.036731,13.3,0,0,1,0,2,0,1,0,1,Concrete/ciment,1,0,0,0,1
0,0.04,828.036731,13.3,0,0,1,0,2,0,1,0,1,Concrete/ciment,1,0,0,0,1
0,0.1,49.5791154,65.01,0,1,2,1,2,0,4,2,1,Concrete/ciment,1,1,0,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,0,Concrete/ciment,1,1,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,0,Concrete/ciment,1,1,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,0,Concrete/ciment,1,1,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,0,Concrete/ciment,1,1,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,1,Concrete/ciment,0,0,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,1,Concrete/ciment,0,0,1,0,1
